instance	class	skos	ontology	ontology vann:namespace
http://purl.org/ontology/bibo/bdarcus	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/bdarcus	http://xmlns.com/foaf/0.1/Person	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/degrees/ma	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/degrees/ma	http://purl.org/ontology/bibo/ThesisDegree	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/degrees/ms	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/degrees/ms	http://purl.org/ontology/bibo/ThesisDegree	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/degrees/phd	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/degrees/phd	http://purl.org/ontology/bibo/ThesisDegree	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/fgiasson	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/fgiasson	http://xmlns.com/foaf/0.1/Person	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/accepted	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/accepted	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/draft	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/draft	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/forthcoming	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/forthcoming	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/legal	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/legal	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/nonPeerReviewed	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/nonPeerReviewed	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/peerReviewed	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/peerReviewed	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/published	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/published	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/rejected	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/rejected	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/unpublished	http://www.w3.org/2002/07/owl#Thing	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/status/unpublished	http://purl.org/ontology/bibo/DocumentStatus	0	http://purl.org/ontology/bibo/	http://purl.org/ontology/bibo/
