instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://ontology.it/itsmo/v1#highCritical	http://ontology.it/itsmo/v1#Criticality	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#lowCritical	http://ontology.it/itsmo/v1#Criticality	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#mediumCritical	http://ontology.it/itsmo/v1#Criticality	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#strongDependency	http://ontology.it/itsmo/v1#DependencyStrength	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#weakDependency	http://ontology.it/itsmo/v1#DependencyStrength	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#Retire	http://ontology.it/itsmo/v1#LifeCycleStage	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#highPriority	http://ontology.it/itsmo/v1#Priority	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#lowPriority	http://ontology.it/itsmo/v1#Priority	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#mediumPriority	http://ontology.it/itsmo/v1#Priority	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#BusinessService	http://ontology.it/itsmo/v1#ServiceScope	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
http://ontology.it/itsmo/v1#InfrastructureService	http://ontology.it/itsmo/v1#ServiceScope	false	http://ontology.it/itsmo/v1	http://ontology.it/itsmo/v1#	http://ontology.it/itsmo/v1#
